abase: 凌辱
abash: 惑
abate: 杀
abdicate: 放弃
aberration: 像差
abet: 助长
abeyance: 暂时保留
abhor: 痛恨
abject: 下贱
abjure: 郑重放弃
abnegate: 舍弃
abomination: 厌恶
aboriginal: 土著
abortive: 未遂
abound: 盛产
abridge: 删节
abrogate: 废除
absolute: 绝对
absolve: 开脱
abstinent: 戒断
abstract: 抽象
abstruse: 奥
abysmal: 深
accede: 加入
accentuate: 加重
access: 访问
acclaim: 欢呼
accolade: 奖项
accord: 符合
accost: 招呼
accrue: 累积
acerbic: 尖刻
acquiesce: 默许
acquisitive: 贪婪
acquit: 开释
acrid: 辛辣
acrimonious: 尖刻
acronym: 首字母缩写
acumen: 触觉
acute: 急性
ad-lib: 即兴
adage: 谚语
adamant: 坚定
address: 地址
adduce: 举出
adherent: 附着的
adjourn: 休会
adjunct: 附件
admonish: 谏
adroit: 机巧
adulation: 阿谀
adulterate: 掺杂
advent: 来临
adventitious: 不定
adverse: 不利的
advocate: 主张
aesthetic: 审美
affable: 和蔼可亲的
affectation: 做作
affidavit: 誓章
affiliate: 子公司
affinity: 亲和力
affliction: 痛苦
affluent: 富裕的
afford: 买得起
affront: 冒犯
aftermath: 后果
agenda: 议程
aggrandize: 夸大
aggregate: 骨料
aggrieve: 侵害
aghast: 骇然
agnostic: 不可知
agrarian: 农业
alacrity: 敏捷
alchemy: 炼金术
alienate: 离间
allege: 断言
allegiance: 忠诚
allegory: 寓言
alleviate: 缓和
allocate: 分配
allot: 分配
alloy: 合金
allusion: 典故
aloof: 超然
altercation: 争吵
altruism: 利他主义
amass: 攒
ambience: 环境
ambiguous: 暧昧
ambivalent: 矛盾
ameliorate: 改善
amenable: 适合
amenity: 市容
amiable: 可亲
amnesty: 大赦
amorous: 恋爱的
amorphous: 非晶
anachronism: 不合时宜
analogy: 类比
anarchy: 无政府状态
anathema: 诅咒
ancillary: 辅助的
anecdote: 轶事
angst: 焦虑
anguish: 烦闷
animosity: 敌意
annex: 附件
annuity: 年金
anomaly: 不规​​则
antecedent: 前情
antedate: 早于
anterior: 前面的
anthology: 选集
anthropomorphic: 拟人化
antipathy: 反感
antipodal: 对极
antiquity: 古代
antithesis: 对立
apartheid: 种族隔离
apathy: 暮气
aperture: 光圈
apex: 顶点
aphorism: 格言
apocalypse: 启示
apocryphal: 杜撰
apogee: 远地点
apoplexy: 中风
apostasy: 叛教
apotheosis: 神化
appalling: 骇人听闻的
apparition: 幻影
appease: 安抚
appellation: 称谓
appendage: 附加物
apportion: 分摊
apposite: 适当
appraise: 评价
appreciate: 欣赏
apprehensive: 忧虑
apprise: 通知
approbation: 赞许
appropriate: 适当
appurtenance: 附属物
