abase: humillar
abash: avergonzar
abate: disminuir
abdicate: abdicar
aberration: aberración
abet: instigar
abeyance: suspensión
abhor: aborrecer
abject: abyecto
abjure: abjurar de
abnegate: renunciar
abomination: abominación
aboriginal: aborigen
abortive: abortivo
abound: abundar
abridge: abreviar
abrogate: abrogar
absolute: absoluto
absolve: absolver
abstinent: abstinente
abstract: abstracto
abstruse: abstruso
abysmal: abismal
accede: acceder a
accentuate: acentuar
access: acceso
acclaim: aclamación
accolade: espaldarazo
accord: acuerdo
accost: abordar
accrue: acumularse
acerbic: acerbo
acquiesce: ceder
acquisitive: codicioso
acquit: absolver
acrid: acre
acrimonious: mordaz
acronym: acrónimo
acumen: perspicacia
acute: agudo
ad-lib: improvisar
adage: adagio
adamant: firme
address: dirección
adduce: aducir
adherent: adherente
adjourn: aplazar
adjunct: adjunto
admonish: amonestar
adroit: hábil
adulation: adulación
adulterate: adulterar
advent: adviento
adventitious: adventicio
adverse: adverso
advocate: abogado
aesthetic: estético
affable: afable
affectation: afectación
affidavit: declaración jurada
affiliate: filial
affinity: afinidad
affliction: aflicción
affluent: afluente
afford: permitirse
affront: afrenta
aftermath: secuelas
agenda: orden del día
aggrandize: engrandecer
aggregate: agregar
aggrieve: ofender
aghast: espantado
agnostic: agnóstico
agrarian: agrario
alacrity: prontitud
alchemy: alquimia
alienate: enajenar
allege: alegar
allegiance: lealtad
allegory: alegoría
alleviate: aliviar
allocate: asignar
allot: asignar
alloy: aleación
allusion: alusión
aloof: a distancia
altercation: altercado
altruism: altruismo
amass: acumular
ambience: ambiente
ambiguous: ambiguo
ambivalent: ambivalente
ameliorate: mejorar
amenable: dócil
amenity: amenidad
amiable: amable
amnesty: amnistía
amorous: amoroso
amorphous: amorfo
anachronism: anacronismo
analogy: analogía
anarchy: anarquía
anathema: anatema
ancillary: auxiliar
anecdote: anécdota
angst: angustia
anguish: angustia
animosity: animosidad
annex: anexo
annuity: anualidad
anomaly: anomalía
antecedent: antecedente
antedate: antedatar
anterior: anterior
anthology: antología
anthropomorphic: antropomórfico
