abase: అవమానించు
abash: అసహనం చేయడానికి
abate: నయం
abdicate: సింహాసనాన్ని
aberration: విశ్లేషణం
abet: ప్రేరేపించు
abeyance: నిలుపుదల
abhor: అసహాయపడు
abject: నికృష్ట
abjure: వదులుకొను
abnegate: త్యజించు
abomination: అసహ్యకరమైనది
aboriginal: ఆదిమ
abortive: ఫలించని
abound: పుష్కలంగా
abridge: కుదించండి
abrogate: రద్దు
absolute: సంపూర్ణ
absolve: విమోచనం చెయ్యి
abstinent: మితాహారియైన
abstract: నైరూప్య
abstruse: చిక్కైన
abysmal: అంతులేని
accede: మౌనంగా
accentuate: తగిన
access: యాక్సెస్
acclaim: మెప్పును
accolade: పురస్కారం
accord: ఒప్పందం
accost: పలకరించు
accrue: వచ్చే
acerbic: కటువైన
acquiesce: సమ్మతించడం
acquisitive: దన సేకరణ
acquit: వదలివేయడం
acrid: వగరు
acrimonious: క్రూరమైన
acronym: ఎక్రోనిం
acumen: చతురత
acute: తీవ్రమైన
ad-lib: ప్రకటన lib
adage: సామెత
adamant: మొండిగా
address: చిరునామా
adduce: ప్రవేశపెట్టు
adherent: అనుయాయి
adjourn: వాయిదా
adjunct: సమ్మిళితంగా
admonish: మందలించాడు
adroit: చమత్కారియైన
adulation: ముఖస్తుతి
adulterate: చవుకగా దొరికే పదార్థములతో మంచి పదార్థములను కల్తీ చేయు
advent: ఆగమనం
adventitious: సంభవించే
adverse: ప్రతికూల
advocate: న్యాయవాది
aesthetic: సౌందర్య
affable: స్నేహపూర్వక
affectation: కడగా
affidavit: అఫిడవిట్
affiliate: అనుబంధ
affinity: సామ్యాన్ని
affliction: బాధ
affluent: సంపన్న
afford: స్థోమత
affront: అమర్యాద
aftermath: పరిణామాలలో
agenda: ఎజెండా
aggrandize: అధికారం పెంచు
aggregate: మొత్తం
aggrieve: దుఃఖపెట్టు
aghast: ఆశ్చర్యమైన
agnostic: అజ్ఞేయ
agrarian: వ్యవసాయ
alacrity: ఉల్లాసం
alchemy: రసవాదం
alienate: మరొకరికి
allege: లేవనెత్తారు
allegiance: విధేయతలు
allegory: అన్యార్థ రచనగా
alleviate: ఉపశమనం
allocate: కేటాయించాల్సిన
allot: నిర్ణయించు
alloy: మిశ్రమం
allusion: పూర్వకథ
aloof: దూరంగా
altercation: వాగ్వాదం
altruism: విశ్వాసం
amass: కూడబెట్టు
ambience: వాతావరణం
ambiguous: అస్పష్ట
ambivalent: సందిగ్ధంలో
ameliorate: నిర్మూలించేందుకు
amenable: సుసాధ్యం
amenity: వసతి
amiable: ప్రీతిపాత్రమైన
amnesty: అమ్నెస్టీ
amorous: రసిక
amorphous: నిరాకార
anachronism: కాలజ్ఞానదోషం
analogy: సారూప్యత
anarchy: అరాచకత్వం
anathema: శాపము
ancillary: సహాయక
anecdote: పిట్టకధ
angst: బెంగ
anguish: వేదన
animosity: శత్రుత్వం
annex: annex
annuity: యాన్యుటీ
anomaly: విపరీతమైనది
antecedent: పూర్వ
antedate: ముందు తేది వేయు
anterior: యాంటీరియర్
anthology: సంపుటి
anthropomorphic: మానవరూప
antipathy: ద్వేషము
antipodal: antipodal
antiquity: ప్రాచీనత
antithesis: విపరీతం
apartheid: వర్ణవివక్ష
apathy: ఉదాసీనత
aperture: ఎపర్చరు
apex: APEX
aphorism: నానుడి
apocalypse: అపోకలిప్స్
apocryphal: అనుమానస్పద
apogee: దూర బిందువు
apoplexy: అవయవములలో రక్తము చిమ్ముట
apostasy: స్వధర్మ
apotheosis: దేవత్వారోపణ
appalling: భయంకరమైన
apparition: భూతం
appease: బుజ్జగించడానికి
appellation: ఈ నామం
appendage: చేరినది
apportion: విభజించేందుకు
apposite: తగిన
appraise: వెలమతించు
appreciate: అభినందిస్తున్నాము
apprehensive: ఆందోళన చెందే
apprise: తెలియజేయు
approbation: సమ్మతి
appropriate: తగిన
appurtenance: ఉపాంగాలు
apropos: సమయానికి
apt: వర్ణనాత్మక
aptitude: ఆప్టిట్యూడ్
arbiter: నిర్ణేతగా
arbitrary: ఏకపక్ష
arcade: ఆర్కేడ్
arcane: మర్మమైన
archaic: ప్రాచీనమైన
archetype: ఆదర్శం
archipelago: ద్వీపసమూహం
archives: ఆర్కైవ్
ardent: ప్రచండ
arduous: కఠినమైనది
arid: శుష్క
aristocratic: కులీన
armament: దండు
armistice: యుద్ధ విరమణ
arraign: తప్పు మోపుట
arrant: చెడ్డ
arrears: బకాయిలు
arsenal: ఆర్సెనల్
artful: టక్కరి
articulate: ఉచ్చరించు
artifice: యుక్తి
artisan: శిల్పకారుడు
ascendancy: ప్రాబల్యానికి
ascertain: రూఢీపరకునే
ascetic: సన్యాసిగా
ascribe: చేసెనని
askance: పక్కాగా
aspersion: చల్లటం
assail: పైబడు
assert: చాటుకోవడం
assess: అంచనా
assiduous: శ్రద్ధగల
assimilate: సదృశమవ్వు
assuage: శాంతించు
astringent: రక్తస్రావ నివారిణి
astute: సూక్ష్మబుద్ధిగల
asylum: ఆశ్రయం
atheist: నాస్తిక
atone: ప్రాయశ్చిత్తం
atrophy: క్షీణత
attest: ధృవీకరించు
attribute: లక్షణం
attrition: ఘర్షణ
audacity: ధైర్యం
augment: పెంపొందించు
augur: జోస్యంచెప్పు
august: ఆగస్టు
auspices: ఆశ్రయంలో
auspicious: పవిత్రమైన
austere: నిరాడంబర
autocratic: నిరంకుశ
autonomous: స్వయంప్రతిపత్తి
auxiliary: సహాయక
avail: ఉపయోగించుకోవాలంటే
avant-garde: సూత్రధారులు
avarice: దురాశ
aversion: విరక్తి
avert: నివారించు
avid: ఆసక్తిగల
avow: ఒప్పు
avuncular: avuncular
awry: వంకరైన
axiom: నిభందన
bacchanal: బచ్చనల్
baleful: హానికరమైన
balk: భంగము చెయ్యి
ballyhoo: గందరగోళ ధ్వనులతో కూడిన స్థితి
balm: ఔషధతైలం
banal: సామాన్యమైన
bandy: విసురు
bane: బానే
banter: పరిహాసమాడు
baroque: బరోక్
barrage: డ్యాము
bastion: బురుజు
bauble: bauble
bedlam: సమాధి
beget: ప్రసవించు
begrudge: అసూయపడు
behest: ఉత్తర్వులతో
belabor: belabor
beleaguer: చుట్టుముట్టు
belie: తప్పుడు అభిప్రాయం
belittle: తక్కువ
belligerent: కయ్యానికి కాలుదువ్వే
bemoan: దుఃఖపడు
bemused: తోచకుండా
benediction: దీవన
benefactor: ఉపకారి
benevolent: సహనశీలి
benighted: అస్తమించిన
benign: నిరపాయమైన
bequest: ఆస్థిని వదిలివేయడం
bereaved: ఎడబాటుకు గురైనవారిని
beset: చుట్టుముట్టు
