abase: humilier
abash: rendre confus
abate: diminuer
abdicate: abdiquer
aberration: aberration
abet: un pari
abeyance: situation en suspens
abhor: abhorrer
abject: abject
abjure: abjurer
abnegate: renoncer à
abomination: abomination
aboriginal: Aborigène
abortive: abortif
abound: abonder
abridge: abréger
abrogate: abroger
absolute: absolu
absolve: absoudre
abstinent: abstinent
abstract: abstrait
abstruse: abstrus
abysmal: épouvantable
accede: accepter
accentuate: accentuer
access: accès
acclaim: acclamer
accolade: accolade
accord: accord
accost: accoster
accrue: s'accumuler
acerbic: acerbe
acquiesce: acquiescer
acquisitive: avide
acquit: acquitter
acrid: âcre
acrimonious: acrimonieux
acronym: acronyme
acumen: perspicacité
acute: aigu
ad-lib: improvisation
adage: adage
adamant: catégorique
address: adresse
adduce: apporter
adherent: adhérent
adjourn: ajourner
adjunct: auxiliaire
admonish: avertir
adroit: adroit
adulation: adulation
adulterate: falsifier
advent: avènement
adventitious: adventice
adverse: négatif
advocate: avocat
aesthetic: esthétique
affable: affable
affectation: affectation
affidavit: déclaration écrite sous serment
affiliate: filiale
affinity: affinité
affliction: affliction
affluent: riche
afford: offrir
affront: affront
aftermath: conséquences
agenda: ordre du jour
aggrandize: agrandir
aggregate: agrégat
aggrieve: affliger
aghast: atterré
agnostic: agnostique
agrarian: agraire
alacrity: empressement
alchemy: alchimie
alienate: aliéner
allege: alléguer
allegiance: allégeance
allegory: allégorie
alleviate: soulager
allocate: allouer
allot: attribuer
alloy: alliage
allusion: allusion
aloof: distant
altercation: altercation
altruism: altruisme
amass: amasser
ambience: ambiance
ambiguous: ambigu
ambivalent: ambivalent
ameliorate: améliorer
amenable: souple
amenity: aménité
amiable: aimable
amnesty: amnistie
amorous: amoureux
amorphous: amorphe
anachronism: anachronisme
analogy: analogie
anarchy: anarchie
anathema: anathème
ancillary: auxiliaire
anecdote: anecdote
angst: Angst
anguish: angoisse
animosity: animosité
annex: annexe
annuity: rente
anomaly: anomalie
antecedent: antécédent
antedate: antidate
anterior: antérieur
anthology: anthologie
anthropomorphic: anthropomorphiste
antipathy: antipathie
antipodal: antipodes
antiquity: antiquité
antithesis: antithèse
apartheid: apartheid
apathy: apathie
aperture: ouverture
apex: sommet
aphorism: aphorisme
apocalypse: apocalypse
apocryphal: apocryphe
apogee: apogée
apoplexy: apoplexie
apostasy: apostasie
apotheosis: apothéose
appalling: épouvantable
apparition: apparition
appease: apaiser
appellation: appellation
appendage: appendice
apportion: répartir
apposite: pertinent
appraise: évaluer
appreciate: apprécier
apprehensive: inquiet
apprise: informer
approbation: approbation
appropriate: approprier
appurtenance: accessoire
apropos: à propos de
apt: apte
aptitude: aptitude
arbiter: arbitre
arbitrary: arbitraire
arcade: arcade
arcane: ésotérique
archaic: archaïque
archetype: archétype
archipelago: archipel
archives: archives
ardent: ardent
arduous: difficile
arid: aride
aristocratic: aristocratique
armament: armement
armistice: armistice
arraign: accuser
arrant: fieffé
arrears: arrérages
arsenal: arsenal
artful: astucieux
articulate: articuler
artifice: artifice
artisan: artisan
ascendancy: ascendant
ascertain: vérifier
ascetic: ascétique
ascribe: attribuer
askance: askance
aspersion: aspersion
assail: assaillir
assert: affirmer
assess: évaluer
assiduous: assidu
assimilate: assimiler
assuage: apaiser
astringent: astringent
astute: astucieux
asylum: asile
atheist: athée
atone: expier
atrophy: atrophie
attest: attester
attribute: attribut
attrition: usure
audacity: audace
augment: augmenter
augur: augure
august: août
auspices: auspices
auspicious: de bon augure
austere: austère
autocratic: autocratique
autonomous: autonome
auxiliary: auxiliaire
avail: profiter
avant-garde: avant-garde
avarice: avarice
aversion: aversion
avert: éviter
avid: avide
avow: avouer
avuncular: avunculaire
awry: de travers
axiom: axiome
bacchanal: bachique
baleful: funeste
balk: regimber
ballyhoo: battage
balm: baume
banal: banal
bandy: échanger
bane: fléau
banter: plaisanter
baroque: baroque
barrage: barrage
bastion: bastion
bauble: babiole
bedlam: chahut
beget: engendrer
begrudge: rechigner
behest: ordre
belabor: invectiver
beleaguer: encercler
belie: démentir
belittle: rabaisser
belligerent: belligérant
bemoan: déplorer
bemused: perplexe
benediction: bénédiction
benefactor: bienfaiteur
benevolent: bienveillant
benighted: aveugle
benign: bénin
bequest: legs
bereaved: privé
beset: assaillir
bestow: donner
bilious: bilieux
bivouac: bivouac
blanch: blanchir
bland: fade
blandishment: flatterie
blasphemy: blasphème
blatant: flagrant
blight: rouille
bliss: félicité
blithe: joyeux
bluster: fulminer
bombast: grandiloquence
boon: aubaine
boor: rustre
booty: butin
botch: bousiller
bourgeois: bourgeois
bovine: bovine
bracing: entretoisement
brandish: brandir
bravado: bravade
brawn: Brawn
brazen: effronté
breach: violation
brevity: brièveté
brink: bord
bristle: poil
broach: broche
bromide: bromure
brouhaha: brouhaha
brusque: brusque
bucolic: bucolique
buffoon: bouffon
bulwark: rempart
bureaucracy: bureaucratie
burgeon: bourgeon
burlesque: burlesque
byzantine: byzantin
cabal: cabale
cache: cachette
cacophony: cacophonie
cadence: cadence
cajole: cajoler
calamity: calamité
callous: insensible
callow: inexpérimenté
calumny: calomnie
candor: candeur
canon: Canon
cant: pente
canvass: solliciter
capacious: vaste
capital: capital
capitalism: capitalisme
capitulate: capituler
capricious: capricieux
captivate: captiver
carcinogenic: cancérogène
cardinal: cardinal
careen: caréner
caricature: caricature
cartography: cartographie
cascade: Cascade
castigate: fustiger
cataclysm: cataclysme
catalyst: catalyseur
categorical: catégorique
catharsis: catharsis
catholic: catholique
caucus: caucus
caustic: caustique
cavalier: cavalier
cavil: chicaner
celibacy: célibat
censure: censurer
cerebral: cérébral
chaff: balle
chagrin: dépit
chameleon: caméléon
champion: champion
channel: canal
charisma: charisme
charlatan: charlatan
chasm: gouffre
chaste: chaste
chastise: punir
cherub: chérubin
chicanery: chicanerie
chimera: chimère
choleric: colérique
chortle: gloussement
chronic: chronique
chronicle: chronique
churl: rustre
chutzpah: chutzpah
cipher: chiffrer
circuitous: détourné
circumlocution: circonlocution
circumnavigate: le tour
circumscribe: limiter
circumspect: circonspect
circumvent: circonvenir
citadel: citadelle
civil: civil
clandestine: clandestin
classic: classique
cleave: fendre
clemency: clémence
cliche: cliché
climatic: climatique
clique: clique
cloister: cloître
clone: cloner
clout: influence
cloy: perdre son charme
coalesce: se fondre
coddle: dorloter
coerce: contraindre
cogent: convaincant
cogitate: réfléchir
cognitive: cognitif
cognizant: compétent
coherent: cohérent
cohort: cohorte
colloquial: familier
collusion: connivence
commemorate: commémorer
commensurate: commensurable
commiserate: témoigner de la sympathie
commodious: spacieux
compatible: compatible
compelling: irrésistible
compendium: compendium
competent: compétent
compile: compiler
complacent: satisfait
complement: complément
complicity: complicité
comply: se conformer
composed: composé
comprehensive: complet
comprise: comprendre
compromise: compromis
compunction: scrupule
concave: concave
concede: concéder
concentric: concentrique
concert: concert
conciliatory: conciliatoire
concise: concis
concoct: concocter
concomitant: concomitant
concord: concorde
concurrent: concurrent
condescend: condescendre
condone: fermer les yeux sur
conducive: propice
confederate: confédéré
confer: conférer
confidant: confident
configuration: configuration
conflagration: incendie
confluence: confluence
confound: confondre
congeal: figer
congenial: agréable
congenital: congénital
congregate: se rassembler
conjecture: conjecture
conjugal: conjugal
conjure: conjurer
connive: fermer les yeux
connoisseur: connaisseur
consecrate: consacrer
consensus: consensus
conservatory: conservatoire
consign: expédier
consolidate: consolider
consonant: consonne
conspicuous: visible
consternation: consternation
constituency: circonscription électorale
construe: interpréter
consummate: achever
contempt: mépris
contentious: contentieuse
contiguous: contigu
contingent: contingent
continuum: continuum
contraband: contrebande
contretemps: contretemps
contrite: contrit
contrived: artificiel
contumely: mépris
conundrum: énigme
convene: convoquer
conventional: conventionnel
conversant: au courant
converse: converser
convey: transmettre
conviction: conviction
convivial: convivial
convolution: convolution
copious: copieux
cordial: cordial
corollary: corollaire
corporeal: corporel
correlation: corrélation
corroborate: corroborer
corrosive: corrosif
corrugated: ondulé
cosmopolitan: cosmopolite
coterie: coterie
countenance: visage
coup: coup
covenant: engagement
covert: secret
covet: convoiter
cower: se recroqueviller
crass: grossier
craven: lâche
credulous: crédule
crescendo: crescendo
crestfallen: découragé
crevice: fente
cringe: reculer
criterion: critère
critique: la critique
crux: nœud
cryptic: sibyllin
cuisine: cuisine
culinary: culinaire
cull: cueillir
culminate: culminer
culpable: coupable
curb: freiner
curmudgeon: avare
cursory: superficiel
curtail: réduire
cynic: cynique
daunt: décourager
dearth: disette
debacle: débâcle
debase: avilir
debauchery: débauche
debilitate: débiliter
debunk: discréditer
decadent: décadent
decimate: décimer
decorous: convenable
decree: décret
decry: décrier
deduce: déduire
deem: considérer
defame: diffamer
deference: respect
deficit: déficit
defile: défilé
definitive: définitive
deft: habile
defunct: défunt
degenerate: dégénérer
degrade: dégrader
deign: daigner
deity: déité
dejected: abattu
delectable: délectable
deleterious: délétère
delineate: tracer
delinquent: délinquant
delude: tromper
deluge: inonder
delve: creuser
demagogue: démagogue
demeanor: comportement
demise: disparition
demography: démographie
demur: hésitation
demure: sage
denizen: habitant
denomination: dénomination
denote: indiquer
denounce: dénoncer
depict: représenter
deplete: épuiser
deplore: déplorer
deploy: déployer
depose: déposer
depravity: dépravation
deprecate: désapprouver
derelict: abandonné
deride: railler
derogatory: dénigrant
desiccate: dessécher
desist: cesser
despondent: découragé
despot: despote
destitute: dépourvu
desultory: décousu
devout: pieux
dexterous: agile
dialectical: dialectique
diatribe: diatribe
dichotomy: dichotomie
dictum: affirmation
didactic: didactique
diffident: timide
diffuse: diffuser
digress: faire une digression
dilapidated: délabré
dilate: dilater
dilemma: dilemme
dilettante: dilettante
diminution: diminution
dire: terrible
dirge: chant funèbre
disaffect: mécontenter
disarray: désarroi
discern: discerner
disclaim: désavouer
discomfit: déconcerter
disconcert: déconcerter
discourse: discours
discreet: discret
discrepancy: contradiction
discrete: discret
discriminate: établir une discrimination
disdain: dédain
disgruntle: contrarier
disinformation: désinformation
disinterested: désintéressé
dismal: lugubre
dismay: consternation
disparage: dénigrer
disparate: disparate
dispassionate: impartial
disperse: disperser
dispirit: décourager
disposition: disposition
disproportionate: disproportionné
disquiet: inquiétude
dissemble: déguiser
disseminate: disséminer
dissent: contestation
disservice: mauvais service
dissident: dissident
dissipate: se dissiper
dissolution: dissolution
dissuade: dissuader
distend: distendre
distinct: distinct
distinguish: distinguer
diurnal: diurne
divine: Divin
divulge: divulguer
docile: docile
doctrinaire: doctrinaire
document: document
dogmatic: dogmatique
doldrums: marasme
doleful: dolent
dolt: balourd
domestic: national
dormant: dormant
dotage: gâtisme
double: double
dour: austère
downcast: abattu
downplay: minimiser
draconian: draconien
droll: drôle
dross: scories
dubious: douteux
duplicity: duplicité
duress: contrainte
ebb: reflux
ebullient: exubérant
eccentric: excentrique
ecclesiastical: ecclésiastique
eclectic: éclectique
eclipse: éclipse
ecosystem: écosystème
edict: décret
edifice: édifice
edify: édifier
efface: effacer
effectual: efficace
efficacy: efficacité
effigy: effigie
effusion: effusion
egalitarian: égalitariste
egocentric: égocentrique
egregious: énorme
elation: allégresse
electorate: électorat
elegy: élégie
elicit: obtenir
elite: élite
elliptical: elliptique
elocution: élocution
elusive: insaisissable
emaciate: s'émacier
emanate: émaner
emancipate: émanciper
embargo: embargo
embellish: embellir
embody: incarner
embroil: mêler à
embryonic: embryonnaire
emigrate: émigrer
eminent: éminent
emissary: émissaire
empathy: empathie
empirical: empirique
empower: habiliter
emulate: imiter
encroach: empiéter
endear: faire aimer
endemic: endémique
enervate: amollir
enfranchise: affranchir
engaging: engageant
engender: engendrer
enigma: énigme
enmity: hostilité
ennui: ennui
enormity: énormité
ensue: résulter
entail: entraîner
entity: entité
entreat: supplier
entrepreneur: chef d'entreprise
enumerate: énumérer
envision: Envision
ephemeral: éphémère
epicure: gourmet
epigram: épigramme
epilogue: épilogue
epitome: exemple
epoch: époque
equanimity: équanimité
equestrian: équestre
equitable: équitable
equivocal: équivoque
erudite: érudit
esoteric: ésotérique
espouse: adopter
estimable: estimable
estrange: éloigner
ethereal: éthéré
ethics: éthique
eulogy: éloge
euphemism: euphémisme
evanescent: évanescent
evince: montrer
evoke: évoquer
exacerbate: exacerber
exacting: exigeant
exalt: exalter
exasperate: exaspérer
excise: exciser
exemplify: exemplifier
exempt: exempter
exhaustive: exhaustive
exhort: exhorter
exhume: exhumer
exigency: exigence
existential: existentiel
exodus: exode
