abase: erniedrigen
abash: beschämen
abate: verringern
abdicate: abdanken
aberration: Aberration
abet: begünstigen
abeyance: Unbewusstheit
abhor: verabscheuen
abject: erbärmlich
abjure: abschwören
abnegate: entsagen
abomination: Gräuel
aboriginal: Ureinwohner
abortive: abortiv
abound: im Überfluss
abridge: kürzen
abrogate: außer Kraft setzen
absolute: Absolute
absolve: entbinden
abstinent: abstinent
abstract: Zusammenfassung
abstruse: abstrus
abysmal: miserabel
accede: zustimmen
accentuate: akzentuieren
access: Zugriff
acclaim: Anerkennung
accolade: Akkolade
accord: Übereinstimmung
accost: ansprechen
accrue: erwachsen
acerbic: acerbic
acquiesce: einwilligen
acquisitive: habgierig
acquit: freisprechen
acrid: scharf
acrimonious: bissig
acronym: Akronym
acumen: Scharfsinn
acute: akut
ad-lib: improvisieren
adage: Sprichwort
adamant: unnachgiebig
address: Adresse
adduce: erbringen
adherent: Anhänger
adjourn: vertagen
adjunct: Zusatz
admonish: ermahnen
adroit: geschickt
adulation: Verherrlichung
adulterate: verfälschen
advent: Advent
adventitious: zufällig
adverse: Neben
advocate: befürworten
aesthetic: ästhetisch
affable: freundlich
affectation: Affektiertheit
affidavit: eidesstattliche Versicherung
affiliate: Schwestergesellschaft
affinity: Affinität
affliction: Gebrechen
affluent: wohlhabend
afford: sich leisten
affront: Beleidigung
aftermath: Nachwirkungen
agenda: Agenda
aggrandize: vergrößern
aggregate: Aggregat
aggrieve: betrüben
aghast: entgeistert
agnostic: agnostisch
agrarian: Agrar-
alacrity: Bereitwilligkeit
alchemy: Alchimie
alienate: entfremden
allege: behaupten
allegiance: Treue
allegory: Allegorie
alleviate: lindern
allocate: zuweisen
allot: zuteilen
alloy: Legierung
allusion: Anspielung
aloof: distanziert
altercation: Auseinandersetzung
altruism: Altruismus
amass: anhäufen
ambience: Ambiente
ambiguous: mehrdeutig
ambivalent: ambivalent
ameliorate: verbessern
amenable: zugänglich
amenity: Annehmlichkeit
amiable: liebenswürdig
amnesty: Amnestie
amorous: verliebt
amorphous: amorph
anachronism: Anachronismus
analogy: Analogie
anarchy: Anarchie
anathema: Anathema
ancillary: Hilfs-
anecdote: Anekdote
angst: angst
anguish: Pein
animosity: Feindseligkeit
annex: annektieren
annuity: Rente
anomaly: Anomalie
antecedent: Vorgeschichte
antedate: vordatieren
anterior: Vorder-
anthology: Anthologie
anthropomorphic: anthropomorphe
antipathy: Antipathie
antipodal: antipodal
antiquity: Antike
antithesis: Antithese
apartheid: Apartheid
apathy: Apathie
aperture: Öffnung
apex: Apex
aphorism: Aphorismus
apocalypse: Apokalypse
apocryphal: apokryph
apogee: Höhepunkt
apoplexy: Apoplexie
apostasy: Apostasie
apotheosis: Apotheose
appalling: entsetzlich
apparition: Erscheinung
appease: beschwichtigen
appellation: Bezeichnung
appendage: Anhängsel
apportion: aufteilen
apposite: passend
appraise: bewerten
appreciate: schätzen
apprehensive: besorgt
apprise: benachrichtigen
approbation: Billigung
appropriate: angemessen
appurtenance: Zubehör
apropos: angemessen
apt: geeignet
aptitude: Eignung
arbiter: Schiedsrichter
arbitrary: willkürlich
arcade: Arkade
arcane: arkanen
archaic: archaisch
archetype: Archetyp
archipelago: Archipel
archives: Archiv
ardent: glühender
arduous: beschwerlich
arid: trocken
aristocratic: aristokratisch
armament: Rüstung
armistice: Waffenstillstand
arraign: richterlich vorführen
arrant: dreist
arrears: Verzug
arsenal: Arsenal
artful: kunstvolle
articulate: artikulieren
artifice: List
artisan: Handwerker
ascendancy: Vormachtstellung
ascertain: ermitteln
ascetic: Asket
ascribe: zuschreiben
askance: schief
aspersion: Verleumdung
assail: angreifen
assert: behaupten
assess: beurteilen
assiduous: fleißig
assimilate: assimilieren
assuage: beschwichtigen
astringent: adstringierend
astute: scharfsinnig
asylum: Asyl
atheist: Atheist
atone: büßen
atrophy: Atrophie
attest: bezeugen
attribute: Attribut
attrition: Attrition
audacity: Kühnheit
augment: vermehren
augur: Augur
august: August
auspices: Auspizien
auspicious: verheißungsvoll
austere: streng
autocratic: autokratisch
autonomous: autonom
auxiliary: Hilfs-
avail: Nutzen
avant-garde: Avantgarde
avarice: Habsucht
aversion: Abneigung
avert: verhindern
avid: avid
avow: bekennen
avuncular: onkelhaft
awry: schief
axiom: Axiom
bacchanal: Bacchanal
baleful: böse
balk: Balken
ballyhoo: Tamtam
balm: Balsam
banal: banal
bandy: krumm
bane: Fluch
banter: Geplänkel
baroque: Barock
barrage: Sperrfeuer
bastion: Bastion
bauble: Flitter
bedlam: Durcheinander
beget: zeugen
begrudge: missgönnen
behest: Geheiß
belabor: bearbeiten
beleaguer: belagern
belie: widerlegen
belittle: schmälern
belligerent: kriegerisch
bemoan: beklagen
bemused: verwirrt
benediction: Segen
benefactor: Wohltäter
benevolent: wohlwollend
benighted: benighted
benign: gutartig
bequest: Vermächtnis
bereaved: Hinter
beset: bedrängen
bestow: verleihen
bilious: gallig
bivouac: Biwak
blanch: blanchieren
bland: fade
blandishment: Schmeichelei
blasphemy: Blasphemie
blatant: eklatant
blight: Braunfäule
bliss: Glückseligkeit
blithe: heiter
bluster: toben
bombast: Bombast
boon: Segen
boor: Grobian
booty: Beute
botch: Murks
bourgeois: Bourgeois
bovine: Rinder-
bracing: Verspannung
brandish: schwingen
bravado: Draufgängertum
brawn: Sülze
brazen: dreist
breach: Verletzung
brevity: Kürze
brink: Rand
bristle: Borste
broach: ahle
bromide: Bromid
brouhaha: brouhaha
brusque: schroff
bucolic: bukolisch
buffoon: Hanswurst
bulwark: Bollwerk
bureaucracy: Bürokratie
burgeon: knospen
burlesque: Burleske
byzantine: byzantinisch
cabal: Kabale
cache: Cache-Speicher
cacophony: Kakophonie
cadence: Kadenz
cajole: beschwatzen
calamity: Unglück
callous: gefühllos
callow: unreif
calumny: Verleumdung
candor: Offenheit
canon: Kanon
cant: kippen
canvass: Meinungsumfrage
capacious: geräumig
capital: Hauptstadt
capitalism: Kapitalismus
capitulate: kapitulieren
capricious: launisch
captivate: bestechen
carcinogenic: krebserzeugend
cardinal: Kardinal
careen: kielholen
caricature: Karikatur
cartography: Kartographie
cascade: Kaskade
castigate: geißeln
cataclysm: Katastrophe
catalyst: Katalysator
categorical: kategorial
catharsis: Katharsis
catholic: katholisch
caucus: Ausschuss
caustic: ätzend
cavalier: Kavalier
cavil: kritteln
celibacy: Zölibat
censure: Tadel
cerebral: zerebral
chaff: Spreu
chagrin: Ärger
chameleon: Chamäleon
champion: Champion
channel: Kanal
charisma: Charisma
charlatan: Scharlatan
chasm: Kluft
chaste: keusch
chastise: züchtigen
cherub: Cherub
chicanery: Schikane
chimera: Chimäre
choleric: cholerisch
chortle: glucksen
chronic: chronisch
chronicle: Chronik
churl: Grobian
chutzpah: Chuzpe
cipher: Chiffre
circuitous: weitschweifig
circumlocution: Umschreibung
circumnavigate: umschiffen
circumscribe: umschreiben
circumspect: umsichtig
circumvent: umgehen
citadel: Zitadelle
civil: bürgerlich
clandestine: klandestinen
classic: Klassiker
cleave: spalten
clemency: Milde
cliche: Klischee
climatic: Klima-
clique: Clique
cloister: Kloster
clone: Klon
clout: Schlagkraft
cloy: an Reiz verlieren
coalesce: verschmelzen
coddle: verhätscheln
coerce: zwingen
cogent: cogent
cogitate: nachdenken
cognitive: kognitiv
cognizant: wissend
coherent: kohärent
cohort: Kohorte
colloquial: umgangssprachlich
collusion: Absprache
commemorate: gedenken
commensurate: angemessen
commiserate: mitfühlen
commodious: geräumig
compatible: kompatibel
compelling: zwingend
compendium: Kompendium
competent: kompetent
compile: kompilieren
complacent: selbstgefällig
complement: ergänzen
complicity: Mittäterschaft
comply: entsprechen
composed: zusammengesetzt
comprehensive: umfassend
comprise: umfassen
compromise: Kompromiss
compunction: Bedenken
concave: konkav
concede: zugestehen
concentric: konzentrisch
concert: Konzert
conciliatory: versöhnlich
concise: prägnant
concoct: zusammenbrauen
concomitant: begleitend
concord: Eintracht
concurrent: gleichzeitig
condescend: geruhen
condone: dulden
conducive: förderlich
confederate: verbündeter
confer: verleihen
confidant: Vertraute
configuration: Konfiguration
conflagration: Feuersbrunst
confluence: Zusammenfluss
confound: verwechseln
congeal: erstarren
congenial: kongenial
congenital: angeboren
congregate: sich versammeln
conjecture: Vermutung
conjugal: Ehe-
conjure: zaubern
connive: dulden
connoisseur: Kenner
consecrate: weihen
consensus: Konsens
conservatory: Wintergarten
consign: übergeben
consolidate: konsolidieren
consonant: Konsonant
conspicuous: auffällig
consternation: Bestürzung
constituency: Wahlkreis
construe: konstruieren
consummate: vollenden
contempt: Verachtung
contentious: streitsüchtig
contiguous: zusammenhängende
contingent: Kontingent
continuum: Kontinuum
contraband: Schmuggelware
contretemps: Widrigkeit
contrite: zerknirscht
contrived: gekünstelt
contumely: Schmähung
conundrum: Rätsel
convene: einberufen
conventional: konventionell
conversant: conversant
converse: umgekehrt
convey: vermitteln
conviction: Überzeugung
convivial: gesellig
convolution: Windung
copious: reichlich
cordial: herzlich
corollary: logische Folge
corporeal: körperliche
correlation: Korrelation
corroborate: bestätigen
corrosive: ätzend
corrugated: gewellt
cosmopolitan: kosmopolitisch
coterie: Clique
countenance: Antlitz
coup: Coup
covenant: Bündnis
covert: covert
covet: begehren
cower: kauern
crass: krass
craven: feige
credulous: leichtgläubig
crescendo: Crescendo
crestfallen: niedergeschlagen
crevice: Spalt
cringe: kriechen
criterion: Kriterium
critique: Kritik
crux: Kern
cryptic: rätselhaft
cuisine: Küche
culinary: kulinarisch
cull: pflücken
culminate: gipfeln
culpable: schuldhaft
curb: Randstein
curmudgeon: Griesgram
cursory: kursorische
curtail: beschneiden
cynic: Zyniker
daunt: entmutigen
dearth: Mangel
debacle: Debakel
debase: entwürdigen
debauchery: Ausschweifung
debilitate: entkräften
debunk: entlarven
decadent: dekadent
decimate: dezimieren
decorous: schicklich
decree: Dekret
decry: bemängeln
deduce: ableiten
deem: erachten
defame: diffamieren
deference: Ehrerbietung
deficit: Defizit
defile: verunreinigen
definitive: endgültig
deft: flink
defunct: aufgelösten
degenerate: degenerieren
degrade: degradieren
deign: geruhen
deity: Gottheit
dejected: niedergeschlagen
delectable: köstlich
deleterious: schädlichen
delineate: umreißen
delinquent: Delinquent
delude: täuschen
deluge: Sintflut
delve: vertiefen
demagogue: Demagoge
demeanor: Haltung
demise: Ableben
demography: Demographie
demur: Einwand
demure: sittsam
denizen: Bewohner
denomination: Konfession
denote: bezeichnen
denounce: anprangern
depict: abbilden
deplete: aufbrauchen
deplore: bedauern
deploy: einsetzen
depose: absetzen
depravity: Verderbtheit
deprecate: missbilligen
derelict: Brach
deride: verspotten
derogatory: abfällige
desiccate: trocknen
desist: ablassen
despondent: mutlos
despot: Despot
destitute: mittellos
desultory: flüchtig
devout: fromm
dexterous: gewandt
dialectical: dialektischen
diatribe: Schmährede
dichotomy: Dichotomie
dictum: Diktum
didactic: didaktisch
diffident: schüchtern
diffuse: diffus
digress: abschweifen
dilapidated: baufällig
dilate: erweitern
dilemma: Dilemma
dilettante: Dilettant
diminution: Verminderung
dire: entsetzlich
dirge: Klagelied
disaffect: disaffect
disarray: Unordnung
discern: erkennen
disclaim: dementieren
discomfit: Unbehagen verursachen
disconcert: beirren
discourse: Diskurs
discreet: diskret
discrepancy: Diskrepanz
discrete: diskret
discriminate: diskriminieren
disdain: Verachtung
disgruntle: verstimmen
disinformation: Desinformation
disinterested: desinteressiert
dismal: düster
dismay: Bestürzung
disparage: verunglimpfen
disparate: disparat
dispassionate: leidenschaftslos
disperse: zerstreuen
dispirit: entmutigen
disposition: Anordnung
disproportionate: unverhältnismäßig
disquiet: Unruhe
dissemble: verbergen
disseminate: verbreiten
dissent: Widerspruch
disservice: Bärendienst
dissident: Dissident
dissipate: zerstreuen
dissolution: Auflösung
dissuade: abbringen
distend: blähen
distinct: verschiedene
distinguish: unterscheiden
diurnal: tagaktiv
divine: göttlich
divulge: preisgeben
docile: fügsam
doctrinaire: doktrinär
document: Dokument
dogmatic: dogmatisch
doldrums: Flaute
doleful: traurig
dolt: Schafskopf
domestic: inländisch
dormant: ruhend
dotage: Senilität
double: doppelt
dour: mürrisch
downcast: niedergeschlagen
downplay: herunterzuspielen
draconian: drakonische
droll: drollig
dross: Schlacke
dubious: zweifelhaft
duplicity: Duplizität
duress: Zwang
ebb: Ebbe
ebullient: überschwänglich
eccentric: Exzenter
ecclesiastical: kirchlich
eclectic: eklektisch
eclipse: Finsternis
ecosystem: Ökosystem
edict: Edikt
edifice: Gebäude
edify: erbauen
efface: verwischen
effectual: wirksam
efficacy: Wirksamkeit
effigy: Bildnis
effusion: Erguss
egalitarian: egalitären
egocentric: egozentrisch
egregious: ungeheuerlich
elation: Begeisterung
electorate: Wählerschaft
elegy: Elegie
elicit: entlocken
elite: Elite
elliptical: elliptisch
elocution: Redekunst
elusive: schwer fassbar
emaciate: abzehren
emanate: ausgehen
emancipate: emanzipieren
embargo: Embargo
embellish: verschönern
embody: verkörpern
embroil: verwickeln
embryonic: embryonal
emigrate: auswandern
eminent: eminent
emissary: Emissär
empathy: Empathie
empirical: empirisch
empower: ermächtigen
emulate: emulieren
encroach: übergreifen
endear: beliebt machen
endemic: endemisch
enervate: entnerven
enfranchise: das Wahlrecht erteilen
engaging: einnehmend
engender: erzeugen
enigma: Rätsel
enmity: Feindschaft
ennui: Langeweile
enormity: Ungeheuerlichkeit
ensue: erfolgen
entail: mit sich bringen
entity: Wesen
entreat: anflehen
entrepreneur: Unternehmer
enumerate: aufzählen
envision: vorstellen
ephemeral: kurzlebig
epicure: Genießer
epigram: Epigramm
epilogue: Epilog
epitome: Inbegriff
