abase: poniżać
abash: aby zawstydzony
abate: zapadać
abdicate: abdykować
aberration: aberracja
abet: pomagać w przestępstwie
abeyance: nieznajomość
abhor: cierpieć
abject: nikczemny
abjure: odprzysięgać
abnegate: unieważnić
abomination: abominacja
aboriginal: rodowity
abortive: nieudany
abound: obfitować
abridge: ograniczać
abrogate: unieważnić
absolute: absolutny
absolve: rozgrzeszać
abstinent: abstynencję
abstract: abstrakcyjny
abstruse: zawiły
abysmal: nędzny
accede: przystąpić
accentuate: akcentować
access: dostęp
acclaim: oklaskiwać
accolade: akolada
accord: porozumienie
accost: zaczepić
accrue: przypadać
acerbic: cierpki
acquiesce: przyzwalać
acquisitive: zachłanny
acquit: uniewinnić
acrid: gryzący
acrimonious: zjadliwy
acronym: akronim
acumen: bystrość
acute: ostry
ad-lib: improwizować
adage: przysłowie
adamant: nieugięty
address: adres
adduce: przytaczać
adherent: zwolennik
adjourn: odraczać
adjunct: adiunkt
admonish: upomnieć
adroit: zręczny
adulation: schlebianie
adulterate: fałszować
advent: nadejście
adventitious: niezwykły
adverse: niekorzystny
advocate: adwokat
aesthetic: estetyczny
affable: uprzejmy
affectation: sztuczność
affidavit: oświadczenie złożone pod przysięgą
affiliate: affiliate
affinity: powinowactwo
affliction: nieszczęście
affluent: zamożny
afford: sobie pozwolić
affront: afront
aftermath: następstwa
agenda: agenda
aggrandize: powiększać
aggregate: agregat
aggrieve: dotknąć
aghast: przerażony
agnostic: agnostyk
agrarian: agrarny
alacrity: skwapliwość
alchemy: alchemia
alienate: zrazić
allege: twierdzić
allegiance: lojalność
allegory: alegoria
alleviate: łagodzić
allocate: przeznaczyć
allot: przydzielać
alloy: stop
allusion: aluzja
aloof: z dala
altercation: sprzeczka
altruism: altruizm
amass: zgromadzić
ambience: atmosfera
ambiguous: dwuznaczny
ambivalent: ambiwalentny
ameliorate: polepszyć
amenable: posłuszny
amenity: Udogodnienie
amiable: sympatyczny
amnesty: amnestia
amorous: kochliwy
amorphous: amorficzny
anachronism: anachronizm
analogy: analogia
anarchy: anarchia
anathema: anatema
ancillary: pomocniczy
anecdote: anegdota
angst: angst
anguish: udręczenie
animosity: animozja
annex: aneks
annuity: renta
anomaly: anomalia
antecedent: poprzednik
antedate: poprzedzają
anterior: przedni
anthology: antologia
anthropomorphic: antropomorficzny
antipathy: antypatia
antipodal: antypodowy
antiquity: antyk
antithesis: antyteza
apartheid: apartheid
apathy: apatia
aperture: apertura
apex: wierzchołek
aphorism: aforyzm
apocalypse: apokalipsa
apocryphal: apokryficzny
apogee: apogeum
apoplexy: apopleksja
apostasy: apostazja
apotheosis: apoteoza
appalling: przerażający
apparition: zjawa
appease: udobruchać
appellation: nazwa
appendage: dodatek
apportion: podzielić
apposite: trafny
appraise: oceniać
appreciate: doceniać
apprehensive: spostrzegawczy
apprise: taksować
approbation: aprobata
appropriate: stosowne
appurtenance: przynależność
apropos: apropos
apt: trafny
aptitude: uzdolnienie
arbiter: arbiter
arbitrary: arbitralny
arcade: arkada
arcane: arcane
archaic: archaiczny
archetype: archetyp
archipelago: archipelag
archives: archiwa
ardent: żarliwy
arduous: żmudny
arid: jałowy
aristocratic: arystokratyczny
armament: uzbrojenie
armistice: zawieszenie broni
arraign: inkryminować
arrant: skończony
arrears: zaległości
arsenal: arsenał
artful: pomysłowy
articulate: artykułować
artifice: sztuczka
artisan: rzemieślnik
ascendancy: przewaga
ascertain: ustalić,
ascetic: ascetyczny
ascribe: przypisać
askance: podejrzliwie
aspersion: oszczerstwo
assail: atakować
assert: dochodzić
assess: oceny
assiduous: wytrwały
assimilate: zasymilować
assuage: łagodzić
astringent: ściągające
astute: bystry
asylum: azyl
atheist: ateista
atone: odpokutować
atrophy: atrofia
attest: zaświadczać
attribute: atrybut
attrition: ścieranie
audacity: śmiałość
augment: powiększać
augur: augur
august: dostojny
auspices: auspicje
auspicious: pomyślny
austere: surowy
autocratic: autokratyczny
autonomous: autonomiczny
auxiliary: pomocniczy
avail: pożytek
avant-garde: awangarda
avarice: chciwość
aversion: niechęć
avert: zapobiec
avid: łasy
avow: wyznać
avuncular: dobroduszny
awry: krzywo
axiom: aksjomat
bacchanal: bachiczny
baleful: złowrogi
balk: miedza
ballyhoo: zaagitować
balm: balsam
banal: banalny
bandy: prześcigać się
bane: zmora
banter: drażnić
baroque: barokowy
barrage: zapora
bastion: bastion
bauble: cacko
bedlam: dom wariatów
beget: zrodzić
begrudge: pozazdrościć
behest: rozkaz
belabor: wymłócić
beleaguer: oblec
belie: skrywają
belittle: bagatelizować
belligerent: wojujący
bemoan: opłakiwać
bemused: otumaniony
benediction: błogosławieństwo
benefactor: dobroczyńca
benevolent: życzliwy
benighted: nieoświecony
benign: łagodny
bequest: zapis
bereaved: pogrążony w smutku
beset: oblężony
bestow: obdarzyć
bilious: żółciowy
bivouac: biwak
blanch: sparzyć
bland: łagodny
blandishment: pochlebstwa
blasphemy: bluźnierstwo
blatant: krzykliwy
blight: zwarzyć
bliss: błogość
blithe: świąteczny
bluster: wygrażać
bombast: bombastyczność
boon: dar
boor: cham
booty: łup
botch: naklecić
bourgeois: burżuazyjny
bovine: bydła
bracing: orzeźwiający
brandish: wywijać
bravado: zuchwałość
brawn: salceson
brazen: nachalny
breach: wyłom
brevity: zwięzłość
brink: krawędź
bristle: jeżyć
broach: iglica
bromide: bromek
brouhaha: zamieszanie
brusque: obcesowy
bucolic: bukoliczny
buffoon: błazen
bulwark: bastion
bureaucracy: biurokracja
burgeon: pączek
burlesque: burleska
byzantine: bizantyjskiej
cabal: koteria
cache: Pamięć podręczna
cacophony: kakofonia
cadence: kadencja
cajole: przypochlebiać się
calamity: nieszczęście
callous: nieczuły
callow: nieopierzony
calumny: oszczerstwo
candor: szczerość
canon: kanon
cant: żargon
canvass: werbować
capacious: pojemny
capital: kapitał
capitalism: kapitalizm
capitulate: skapitulować
capricious: kapryśny
captivate: urzec
carcinogenic: rakotwórcze
cardinal: kardynał
careen: careen
caricature: karykatura
cartography: kartografia
cascade: kaskada
castigate: skarcić
cataclysm: kataklizm
catalyst: katalizator
categorical: kategoryczny
catharsis: katharsis
catholic: katolik
caucus: klika
caustic: żrący
cavalier: kawaler
cavil: czepiać się
celibacy: celibat
censure: cenzura
cerebral: mózgowy
chaff: plewy
chagrin: zmartwienie
chameleon: kameleon
champion: mistrz
channel: kanał
charisma: charyzma
charlatan: szarlatan
chasm: przepaść
chaste: cnotliwy
chastise: karać
cherub: cherubin
chicanery: szykany
chimera: chimera
choleric: choleryczny
chortle: rechot
chronic: przewlekła
chronicle: kronika
churl: prostak
chutzpah: bezczelności
cipher: szyfr
circuitous: kręty
circumlocution: omówienie
circumnavigate: opływać
circumscribe: opisać
circumspect: ostrożny
circumvent: obejścia
citadel: cytadela
civil: cywilnej
clandestine: tajne
classic: klasyczny
cleave: rozszczepiać
clemency: łaska
cliche: frazes
climatic: klimatyczny
clique: klika
cloister: klasztor
clone: klon
clout: klaps
cloy: przesycać
coalesce: łączyć
coddle: pieścić
coerce: przymusić
cogent: przekonywający
cogitate: pojąć
cognitive: poznawczy
cognizant: kompetentny
coherent: spójne
cohort: kohorta
colloquial: potoczny
collusion: zmowa
commemorate: uczcić
commensurate: współmierny
commiserate: litować się
commodious: przestronny
compatible: zgodny
compelling: zniewalający
compendium: kompendium
competent: kompetentny
compile: skompilować
complacent: samozadowolenie
complement: uzupełnienie
complicity: współudział
comply: zgodne
composed: składa
comprehensive: kompleksowa
comprise: zawierać
compromise: kompromis
compunction: skrupuły
concave: wklęsły
concede: przyznać
concentric: koncentryczny
concert: koncert
conciliatory: ugodowy
concise: zwięzły
concoct: wymyślać
concomitant: towarzyszący
concord: zgoda
concurrent: współbieżne
condescend: zniżać się
condone: okupić
conducive: sprzyja
confederate: konfederat
confer: naradzać się
confidant: powiernik
configuration: konfiguracja
conflagration: pożar
confluence: zbieg
confound: pomieszać
congeal: zastygać
congenial: sympatyczny
congenital: wrodzony
