abase: humilhar
abash: fazer envergonhado
abate: baixar
abdicate: abdicar
aberration: aberração
abet: instigar
abeyance: inatividade temporária
abhor: abominar
abject: abjeto
abjure: abjurar
abnegate: revogar
abomination: abominação
aboriginal: aborígene
abortive: abortivo
abound: abundar
abridge: abreviar
abrogate: revogar
absolute: absoluto
absolve: absolver
abstinent: abstinente
abstract: abstrato
abstruse: abstruso
abysmal: abismal
accede: aderir
accentuate: acentuar
access: acesso
acclaim: aclamação
accolade: elogio
accord: acordo
accost: abordar
accrue: advir
acerbic: acerbic
acquiesce: aquiescer
acquisitive: aquisitivo
acquit: absolver
acrid: acre
acrimonious: acrimonioso
acronym: acrônimo
acumen: perspicácia
acute: agudo
ad-lib: ad-lib
adage: adágio
adamant: diamante
address: endereço
adduce: aduzir
adherent: aderente
adjourn: adiar
adjunct: adjunto
admonish: admoestar
adroit: hábil
adulation: adulação
adulterate: adulterar
advent: advento
adventitious: acidental
adverse: adverso
advocate: advogado
aesthetic: estético
affable: afável
affectation: afetação
affidavit: declaração
affiliate: afiliar
affinity: afinidade
affliction: aflição
affluent: afluente
afford: proporcionar
affront: afronta
aftermath: conseqüência
agenda: agenda
aggrandize: engrandecer
aggregate: agregado
aggrieve: afligir
aghast: horrorizado
agnostic: agnóstico
agrarian: agrário
alacrity: espontaneidade
alchemy: alquimia
alienate: alienar
allege: alegar
allegiance: fidelidade
allegory: alegoria
alleviate: aliviar
allocate: repartir
allot: atribuir
alloy: liga
allusion: alusão
aloof: indiferente
altercation: altercação
altruism: altruísmo
amass: acumular
ambience: ambiente
ambiguous: ambíguo
ambivalent: ambivalente
ameliorate: melhorar
amenable: dócil
amenity: amenidade
amiable: amável
amnesty: anistia
amorous: amoroso
amorphous: amorfo
anachronism: anacronismo
analogy: analogia
anarchy: anarquia
anathema: anátema
ancillary: auxiliar
anecdote: anedota
angst: angst
anguish: angústia
animosity: animosidade
annex: anexo
annuity: anuidade
anomaly: anomalia
antecedent: antecedente
antedate: antecipar
anterior: anterior
anthology: antologia
anthropomorphic: antropomórfico
antipathy: antipatia
antipodal: antipódico
antiquity: antiguidade
antithesis: antítese
apartheid: apartheid
apathy: apatia
aperture: abertura
apex: ápice
aphorism: aforismo
apocalypse: apocalipse
apocryphal: apócrifo
apogee: apogeu
apoplexy: apoplexia
apostasy: apostasia
apotheosis: apoteose
appalling: apavorante
apparition: aparição
appease: apaziguar
appellation: apelação
appendage: apêndice
apportion: repartir
apposite: apropriado
appraise: avaliar
appreciate: apreciar
apprehensive: apreensivo
apprise: informar
approbation: aprovação
appropriate: apropriado
appurtenance: appurtenance
apropos: a propósito
apt: apto
aptitude: aptidão
arbiter: árbitro
arbitrary: arbitrário
arcade: arcada
arcane: misterioso
archaic: arcaico
archetype: arquétipo
archipelago: arquipélago
archives: arquivo
ardent: ardente
arduous: árduo
arid: árido
aristocratic: aristocrático
armament: armamento
armistice: armistício
arraign: denunciar
arrant: notório
arrears: atraso
arsenal: arsenal
artful: ardiloso
articulate: articular
artifice: artifício
artisan: artesão
ascendancy: ascendência
ascertain: verificar
ascetic: asceta
ascribe: atribuir
askance: de soslaio
aspersion: aspersão
assail: assaltar
assert: afirmar
assess: avaliar
assiduous: assíduo
assimilate: assimilar
assuage: amenizar
astringent: adstringente
astute: astuto
asylum: asilo
atheist: ateu
atone: expiar
atrophy: atrofia
attest: atestar
attribute: atributo
attrition: atrito
audacity: audácia
augment: aumentar
augur: áugure
august: augusto
auspices: auspícios
auspicious: auspicioso
austere: austero
autocratic: autocrático
autonomous: autônomo
auxiliary: auxiliar
avail: proveito
avant-garde: de vanguarda
avarice: avareza
aversion: aversão
avert: evitar
avid: ávido
avow: confessar
avuncular: avuncular
awry: errado
axiom: axioma
bacchanal: bacanal
baleful: maligno
balk: tropeço
ballyhoo: sensacionalismo
balm: bálsamo
banal: banal
bandy: arqueado
bane: perdição
banter: brincadeira
baroque: barroco
barrage: barragem
bastion: bastião
bauble: bugiganga
bedlam: balbúrdia
beget: gerar
begrudge: invejar
behest: ordem
belabor: espancar
beleaguer: sitiar
belie: desmentem
belittle: desmerecer
belligerent: beligerante
bemoan: lamentar
bemused: estupefacção
benediction: bênção
benefactor: benfeitor
benevolent: benevolente
benighted: ignorante
benign: benigno
bequest: legado
bereaved: enlutado
beset: assolada
bestow: outorgar
bilious: bilioso
bivouac: bivaque
blanch: branquear
bland: brando
blandishment: lisonja
blasphemy: blasfêmia
blatant: flagrante
blight: ferrugem
bliss: bem-aventurança
blithe: alegre
bluster: barulho
bombast: estilo bombástico
boon: bênção
boor: cafajeste
booty: saque
botch: remendo
bourgeois: burguês
bovine: bovino
bracing: tonificante
brandish: brandir
bravado: bravata
brawn: brawn
brazen: descarado
breach: violar
brevity: brevidade
brink: beira
bristle: cerda
broach: espichar
bromide: brometo
brouhaha: bafafá
brusque: brusco
bucolic: bucólico
buffoon: bufão
bulwark: baluarte
bureaucracy: burocracia
burgeon: brotar
burlesque: burlesco
byzantine: bizantino
cabal: cabala
cache: esconderijo
cacophony: cacofonia
cadence: cadência
cajole: persuadir
calamity: calamidade
callous: insensível
callow: inexperiente
calumny: calúnia
candor: candura
canon: cânone
cant: hipocrisia
canvass: exame
capacious: espaçoso
capital: capital
capitalism: capitalismo
capitulate: capitular
capricious: caprichoso
captivate: cativar
carcinogenic: carcinogênico
cardinal: cardinal
careen: carenagem
caricature: caricatura
cartography: cartografia
cascade: cascata
castigate: castigar
cataclysm: cataclismo
catalyst: catalisador
categorical: categórico
catharsis: catarse
catholic: católico
caucus: convenção política
caustic: cáustico
cavalier: cavaleiro
cavil: cavilar
celibacy: celibato
censure: censura
cerebral: cerebral
chaff: palha
chagrin: desgosto
chameleon: camaleão
champion: campeão
channel: canal
charisma: carisma
charlatan: charlatão
chasm: abismo
chaste: casto
chastise: punir
cherub: querubim
chicanery: chicanice
chimera: quimera
choleric: colérico
chortle: cachinar
chronic: crônico
chronicle: crônica
churl: vilão
chutzpah: desplante
cipher: cifra
circuitous: sinuoso
circumlocution: circunlóquio
circumnavigate: circunavegar
circumscribe: circunscrever
circumspect: circunspecto
circumvent: lograr
citadel: citadela
civil: civil
clandestine: clandestino
classic: clássico
cleave: Apegue
clemency: clemência
cliche: clichê
climatic: climático
clique: panelinha
cloister: claustro
clone: clone
clout: pancada
cloy: enjoar
coalesce: aglutinam
coddle: amimar
coerce: coagir
cogent: convincente
cogitate: cogitar
cognitive: cognitivo
cognizant: conhecedor
coherent: coerente
cohort: grupo
colloquial: coloquial
collusion: conluio
commemorate: comemorar
commensurate: comensurável
commiserate: lamentar
commodious: espaçoso
compatible: compatível
compelling: constrangedor
compendium: compêndio
competent: competente
compile: compilar
complacent: complacente
complement: complemento
complicity: cumplicidade
comply: obedecer
composed: composto
comprehensive: compreensivo
comprise: compreender
compromise: compromisso
compunction: compunção
concave: côncavo
concede: conceder
concentric: concêntrico
concert: concerto
conciliatory: conciliatório
concise: conciso
concoct: inventar
concomitant: concomitante
concord: concórdia
concurrent: concorrente
condescend: condescender
condone: perdoar
conducive: conducente
confederate: confederado
confer: conferir
confidant: confidente
configuration: configuração
conflagration: conflagração
confluence: confluência
confound: confundir
congeal: congelar
congenial: agradável
congenital: congênito
congregate: congregar
conjecture: conjetura
conjugal: conjugal
conjure: conjurar
connive: ser conivente
connoisseur: conhecedor
consecrate: consagrar
consensus: consenso
conservatory: conservatório
consign: consignar
consolidate: consolidar
consonant: consoante
conspicuous: conspícuo
consternation: consternação
constituency: círculo eleitoral
construe: interpretar
consummate: consumado
contempt: desprezo
contentious: contencioso
contiguous: contíguo
contingent: contingente
continuum: contínuo
contraband: contrabando
contretemps: contratempo
contrite: contrito
contrived: maquinado
contumely: injúria
conundrum: enigma
convene: convocar
conventional: convencional
conversant: familiarizado
converse: conversar
convey: transmitir
conviction: convicção
convivial: jovial
convolution: convolução
copious: copioso
cordial: cordial
corollary: corolário
corporeal: corpóreo
correlation: correlação
corroborate: corroborar
corrosive: corrosivo
corrugated: ondulado
cosmopolitan: cosmopolita
coterie: círculo social
countenance: semblante
coup: golpe
covenant: pacto
covert: encoberto
covet: cobiçar
cower: encolher-se
crass: crasso
craven: covarde
credulous: crédulo
crescendo: crescendo
crestfallen: cabisbaixo
crevice: fenda
cringe: adular servilmente
criterion: critério
critique: crítica
crux: ponto crucial
cryptic: críptica
cuisine: cozinha
culinary: culinária
cull: refugo
culminate: culminar
culpable: culpável
curb: freio
curmudgeon: grosseiro
cursory: apressado
curtail: cercear
cynic: cínico
daunt: assustar
dearth: escassez
debacle: desastre
debase: aviltar
debauchery: deboche
debilitate: debilitar
debunk: desmerecer
decadent: decadente
decimate: dizimar
decorous: decoroso
decree: decreto
decry: desacreditar
deduce: deduzir
deem: julgar
defame: difamar
deference: deferência
deficit: déficit
defile: contaminam
definitive: definitivo
deft: destro
defunct: defunto
degenerate: degenerado
degrade: degradar
deign: dignar-se
deity: divindade
dejected: abatido
delectable: deleitável
deleterious: deletério
delineate: delinear
delinquent: delinquente
delude: iludir
deluge: dilúvio
delve: investigar
demagogue: demagogo
demeanor: comportamento
demise: falecimento
demography: demografia
demur: objetar
demure: acanhado
denizen: habitante
denomination: denominação
denote: denotar
denounce: denunciar
depict: descrever
deplete: esgotar
deplore: deplorar
deploy: implantar
depose: depor
depravity: depravação
deprecate: deprecar
derelict: abandonado
deride: ridicularizar
derogatory: depreciativo
desiccate: dessecar
desist: desistir
despondent: desanimado
despot: déspota
destitute: desamparado
desultory: desconexo
devout: devoto
dexterous: destro
dialectical: dialetal
diatribe: diatribe
dichotomy: dicotomia
dictum: máxima
didactic: didático
diffident: tímido
diffuse: difuso
digress: divagar
dilapidated: dilapidado
dilate: dilatar
dilemma: dilema
dilettante: diletante
diminution: diminuição
dire: horrendo
dirge: endecha
disaffect: desafeiçoar
disarray: desordem
discern: discernir
disclaim: renunciar
