abase: стихать
abash: смущать
abate: утихнуть
abdicate: отказываться
aberration: аберрация
abet: подстрекать
abeyance: неизвестности
abhor: ненавидеть
abject: презренный
abjure: отрекаться
abnegate: отказываться
abomination: мерзость
aboriginal: абориген
abortive: абортивный
abound: изобиловать
abridge: сокращать
abrogate: аннулировать
absolute: абсолютная
absolve: освобождать
abstinent: воздержанный
abstract: Абстрактные
abstruse: заумный
abysmal: ужасный
accede: присоединяться
accentuate: акцентировать
access: доступ
acclaim: возгласы одобрения
accolade: акколада
accord: соглашение
accost: приставать
accrue: нарастать
acerbic: резкий
acquiesce: уступать
acquisitive: стяжательский
acquit: оправдать
acrid: едкий
acrimonious: желчный
acronym: акроним
acumen: проницательность
acute: острый
ad-lib: импровизировать
adage: пословица
adamant: непреклонный
address: адрес
adduce: приводить
adherent: приверженец
adjourn: закрыть
adjunct: адъюнкт
admonish: увещевать
adroit: ловкий
adulation: лесть
adulterate: фальсифицировать
advent: приход
adventitious: случайный
adverse: неблагоприятный
advocate: адвокат
aesthetic: эстетический
affable: приветливый
affectation: аффектация
affidavit: письменное показание под присягой
affiliate: филиал
affinity: сродство
affliction: бедствие
affluent: богатый
afford: позволить себе
affront: оскорбление
aftermath: последствия
agenda: повестка дня
aggrandize: возвеличивать
aggregate: совокупный
aggrieve: обижать
aghast: в ужасе
agnostic: агностик
agrarian: аграрный
alacrity: готовность
alchemy: алхимия
alienate: отчуждать
allege: утверждать
allegiance: верность
allegory: аллегория
alleviate: облегчать
allocate: выделять
allot: выделять
alloy: сплав
allusion: намек
aloof: в стороне
altercation: ссора
altruism: альтруизм
amass: накапливать
ambience: атмосфера
ambiguous: неоднозначно
ambivalent: амбивалентный
ameliorate: улучшать
amenable: поддающийся
amenity: удобства
amiable: любезный
amnesty: амнистия
amorous: влюбчивый
amorphous: аморфный
anachronism: анахронизм
analogy: аналогия
anarchy: анархия
anathema: анафема
ancillary: вспомогательный
anecdote: анекдот
angst: тоска
anguish: тоска
animosity: враждебность
annex: приложение
annuity: аннуитет
anomaly: аномалия
antecedent: антецедент
antedate: предшествовать
anterior: передний
anthology: антология
anthropomorphic: антропоморфический
antipathy: антипатия
antipodal: антиподальный
antiquity: древность
antithesis: антитеза
apartheid: апартеид
apathy: апатия
aperture: апертура
apex: вершина
aphorism: афоризм
apocalypse: Апокалипсис
apocryphal: апокрифический
apogee: апогей
apoplexy: апоплексия
apostasy: отступничество
apotheosis: апофеоз
appalling: ужасно
apparition: призрак
appease: утолить
appellation: название
appendage: придаток
apportion: распределять
apposite: уместный
appraise: оценивать
appreciate: ценить
apprehensive: опасающийся
apprise: информировать
approbation: апробация
appropriate: подходящее
appurtenance: принадлежность
apropos: кстати
apt: склонный
aptitude: способность
arbiter: арбитр
arbitrary: произвольный
arcade: аркада
arcane: тайный
archaic: архаичный
archetype: образец
archipelago: архипелаг
archives: архив
ardent: ярый
arduous: трудный
arid: засушливый
aristocratic: аристократический
armament: вооружение
armistice: перемирие
arraign: обвинять
arrant: отъявленный
arrears: задолженность
arsenal: арсенал
artful: хитрый
articulate: артикулировать
artifice: хитрость
artisan: ремесленник
ascendancy: господство
ascertain: выяснить,
ascetic: аскет
ascribe: приписывать
askance: косо
aspersion: клевета
assail: нападать
assert: утверждать
assess: оценить
assiduous: усердный
assimilate: ассимилировать
assuage: успокаивать
astringent: вяжущий
astute: проницательный
asylum: убежище
atheist: атеист
atone: искупить
atrophy: атрофия
attest: свидетельствовать
attribute: атрибут
attrition: потертость
audacity: дерзость
augment: увеличивать
augur: авгур
august: Август
auspices: покровительство
auspicious: благоприятный
austere: строгий
autocratic: самодержавный
autonomous: автономный
auxiliary: вспомогательный
avail: польза
avant-garde: авангард
avarice: алчность
aversion: отвращение
avert: предотвращать
avid: алчный
avow: оправдывать
avuncular: дядин
awry: неправильно
axiom: аксиома
bacchanal: гуляка
baleful: зловещий
balk: брус
ballyhoo: шумиха
balm: бальзам
banal: банальный
bandy: хоккей с мячом
bane: отрава
banter: подшучивать
baroque: барокко
barrage: заграждение
bastion: бастион
bauble: безделушка
bedlam: бедлам
beget: порождать
begrudge: завидовать
behest: завет
belabor: бить
beleaguer: осаждать
belie: опровергают
belittle: умалять
belligerent: воюющая сторона
bemoan: оплакивать
bemused: ошеломленный
benediction: благословение
benefactor: благодетель
benevolent: доброжелательный
benighted: погруженный во мрак
benign: доброкачественный
bequest: наследство
bereaved: бездетным
beset: осаждать
bestow: даровать
bilious: желчный
bivouac: бивак
blanch: бланшировать
bland: мягкий
blandishment: лесть
blasphemy: богохульство
blatant: вопиющий
blight: отравлять
bliss: блаженство
blithe: веселый
bluster: бушевать
bombast: напыщенность
boon: благо
boor: хам
booty: добыча
botch: заплата
bourgeois: буржуа
bovine: бычий
bracing: крепление
brandish: размахивать
bravado: бравада
brawn: мускулы
brazen: наглый
breach: нарушать
brevity: краткость
brink: Brink
bristle: щетина
broach: брошь
bromide: бромид
brouhaha: шумиха
brusque: бесцеремонный
bucolic: буколический
buffoon: шут
bulwark: оплот
bureaucracy: бюрократия
burgeon: распускаться
burlesque: бурлеск
byzantine: византийский
cabal: интрига
cache: кэш
cacophony: какофония
cadence: каденция
cajole: задобрить
calamity: бедствие
callous: черствый
callow: неопытный
calumny: клевета
candor: откровенность
canon: канон
cant: косяк
canvass: предвыборная агитация
capacious: вместительный
capital: столица
capitalism: капитализм
capitulate: капитулировать
capricious: капризный
captivate: пленять
carcinogenic: канцерогенный
cardinal: кардинал
careen: креновать
caricature: карикатура
cartography: картография
cascade: каскад
castigate: бичевать
cataclysm: катаклизм
catalyst: катализатор
categorical: категорический
catharsis: катарсис
catholic: католическая
caucus: партийное собрание
caustic: едкий
cavalier: кавалер
cavil: придираться
celibacy: целибат
censure: порицание
cerebral: церебральный
chaff: мякина
chagrin: огорчение
chameleon: хамелеон
champion: чемпион
channel: канал
charisma: харизма
charlatan: шарлатан
chasm: пропасть
chaste: целомудренный
chastise: наказывать
cherub: херувим
chicanery: софистика
chimera: химера
choleric: холерический
chortle: хихиканье
chronic: хронический
chronicle: хроника
churl: грубиян
chutzpah: наглость
cipher: шифр
circuitous: окольный
circumlocution: иносказание
circumnavigate: плавать вокруг
circumscribe: ограничивать
circumspect: осмотрительный
circumvent: обойти
citadel: цитадель
civil: гражданского
clandestine: подпольный
classic: классический
cleave: расщепляют
clemency: милосердие
cliche: клише
climatic: климатический
clique: клика
cloister: монастырь
clone: клон
clout: затрещина
cloy: пресыщать
coalesce: сливаться
coddle: нянчиться
coerce: принудить
cogent: убедительный
cogitate: размышлять
cognitive: познавательный
cognizant: осознает
coherent: последовательный
cohort: когорта
colloquial: разговорный
collusion: сговор
commemorate: почтить память
commensurate: соразмерно
commiserate: сочувствовать
commodious: удобный
compatible: совместимый
compelling: неотразимый
compendium: компендиум
competent: компетентный
compile: компилировать
complacent: успокаиваться
complement: дополнение
complicity: соучастие
comply: соблюдать
composed: состоит
comprehensive: всесторонний
comprise: включать
compromise: компромисс
compunction: раскаяние
concave: вогнутый
concede: уступать
concentric: концентрический
concert: концерт
conciliatory: примирительный
concise: краткий
concoct: состряпать
concomitant: сопутствующий
concord: согласие
concurrent: одновременный
condescend: снисходить
condone: мириться
conducive: способствует
confederate: сообщник
confer: совещаться
confidant: доверенное лицо
configuration: конфигурация
conflagration: пожарище
confluence: стечение
confound: смешивать
congeal: застывать
congenial: конгениальный
congenital: врожденный
congregate: собираться
conjecture: догадка
conjugal: супружеский
conjure: заклинать
connive: потворствовать
connoisseur: знаток
consecrate: освящать
consensus: консенсус
conservatory: консерватория
consign: отправлять
consolidate: консолидировать
consonant: согласный
conspicuous: бросающийся в глаза
consternation: ужас
constituency: избирательный округ
construe: толковать
consummate: непревзойденным
contempt: презрение
contentious: спорный
contiguous: смежный
contingent: контингент
continuum: континуум
contraband: контрабанда
contretemps: непредвиденное осложнение
contrite: кающийся
contrived: надуманный
contumely: оскорбление
conundrum: головоломка
convene: созывать
conventional: обычный
conversant: сведущий
converse: общаться
convey: передавать
conviction: убеждение
convivial: компанейский
convolution: свертка
copious: обильный
cordial: сердечный
corollary: следствие
corporeal: телесный
correlation: корреляция
corroborate: подтверждать
corrosive: коррозионный
corrugated: гофрированный
cosmopolitan: космополит
coterie: кружок
countenance: лицо
coup: переворот
covenant: завет
covert: скрытые
covet: жаждать
cower: приседать
crass: грубый
craven: малодушный
credulous: доверчив
crescendo: крещендо
crestfallen: удрученный
crevice: щель
cringe: съеживаться
criterion: критерий
critique: критика
crux: суть
cryptic: загадочный
cuisine: кухня
culinary: кулинарный
cull: отбирать
culminate: Кульминацией
culpable: виновный
curb: Масса в снаряженном состоянии
curmudgeon: скряга
cursory: беглый
curtail: сокращать
cynic: циник
daunt: обескураживать
dearth: недостаток
debacle: разгром
debase: унижаться
debauchery: разврат
debilitate: ослаблять
debunk: развенчивать
decadent: декадентский
decimate: уничтожать
decorous: приличный
decree: указ
decry: порицать
deduce: выводить
deem: считать
defame: порочить
deference: уважение
deficit: дефицит
defile: дефиле
definitive: окончательный
deft: ловкий
defunct: несуществующий
degenerate: вырожденный
degrade: деградировать
deign: соизволил
deity: божество
dejected: удрученный
delectable: восхитительный
deleterious: вредный
delineate: определять
delinquent: правонарушитель
delude: обманывать
deluge: потоп
delve: копаться
demagogue: демагог
demeanor: поведение
demise: кончина
demography: демография
demur: возражать
demure: скромный
denizen: обитатель
denomination: наименование
denote: обозначать
denounce: денонсировать
depict: изображать
deplete: истощать
deplore: сожалеть
deploy: развертывание
depose: низложить
depravity: развращенность
deprecate: осуждать
derelict: покинутый
deride: высмеивать
derogatory: уничижительный
desiccate: высыхать
desist: воздерживаться
despondent: унылый
despot: деспот
destitute: лишенный
desultory: отрывочный
devout: благочестивый
dexterous: ловкий
dialectical: диалектический
diatribe: обличительная речь
dichotomy: дихотомия
dictum: изречение
didactic: дидактический
diffident: неуверенный в себе
diffuse: диффузный
digress: отвлекаться
dilapidated: полуразрушенный
dilate: распространяться
dilemma: дилемма
dilettante: дилетант
diminution: уменьшение
dire: ужасный
dirge: панихида
disaffect: disaffect
disarray: смятение
discern: разглядеть
disclaim: отказываемся от
discomfit: расстраивать
disconcert: расстраивать
discourse: речь
discreet: сдержанный
discrepancy: несоответствие
discrete: дискретный
discriminate: дискриминировать
disdain: презрение
disgruntle: сердить
disinformation: дезинформация
disinterested: бескорыстный
dismal: мрачный
dismay: тревога
disparage: принижать
disparate: несоизмеримый
dispassionate: бесстрастный
disperse: рассеивать
dispirit: удручать
disposition: расположение
disproportionate: несоразмерным
disquiet: беспокойство
dissemble: лицемерить
disseminate: распространять
dissent: несогласие
disservice: вред
dissident: диссидент
dissipate: рассеивать
dissolution: растворение
dissuade: отговаривать
distend: надуваться
distinct: отдельный
distinguish: выделить
diurnal: суточный
divine: божественный
divulge: разглашать
docile: послушный
doctrinaire: доктринер
document: документ
dogmatic: догматический
doldrums: депрессия
doleful: печальный
dolt: болван
domestic: внутренний
dormant: бездействующий
dotage: старческое слабоумие
double: двойной
dour: суровый
downcast: удрученный
downplay: преуменьшать
draconian: драконовские
droll: забавный
dross: шлак
dubious: сомнительный
duplicity: двуличность
duress: принуждение
ebb: отлив
ebullient: кипучий
eccentric: эксцентричный
ecclesiastical: церковный
eclectic: эклектический
eclipse: затмение
ecosystem: экосистема
edict: указ
edifice: здание
edify: наставлять
efface: стирать
effectual: действенный
efficacy: эффективность
effigy: изображение
effusion: выпот
egalitarian: эгалитарный
egocentric: эгоцентрический
egregious: вопиющий
elation: приподнятое настроение
electorate: электорат
elegy: элегия
elicit: вызывать
elite: элита
elliptical: эллиптический
elocution: ораторское искусство
elusive: неуловимый
emaciate: изнуренный
emanate: исходить
emancipate: освобождать
embargo: эмбарго
embellish: приукрашивать
embody: воплощать
embroil: ссорить
embryonic: эмбриональный
emigrate: эмигрировать
eminent: выдающийся
emissary: эмиссар
empathy: сочувствие
empirical: эмпирический
empower: уполномочивать
emulate: подражать
encroach: посягать
endear: расположить к себе
endemic: эндемичных
enervate: расслабленный
enfranchise: освобождать
engaging: привлекательный
engender: порождать
enigma: загадка
enmity: враждебность
ennui: скука
enormity: чудовищность
ensue: следовать
entail: влечь за собой
entity: организация
entreat: умолять
entrepreneur: предприниматель
enumerate: перечислять
envision: представлять себе
ephemeral: эфемерный
epicure: эпикуреец
epigram: эпиграмма
epilogue: эпилог
epitome: воплощение
epoch: эпоха
equanimity: невозмутимость
equestrian: конный
equitable: справедливый
equivocal: двусмысленно
erudite: эрудированный
esoteric: эзотерическая
espouse: поддерживать
estimable: достойный уважения
estrange: отдалять
ethereal: эфирный
ethics: этика
eulogy: панегирик
euphemism: эвфемизм
evanescent: мимолетный
evince: проявлять
evoke: вызывать
exacerbate: обострять
exacting: требовательный
exalt: превозносить
exasperate: раздражать
excise: акцизный
exemplify: служить примером
exempt: освобождать
exhaustive: исчерпывающий
exhort: увещевать
exhume: эксгумировать
exigency: требование
existential: экзистенциальный
exodus: Исход
exonerate: реабилитировать
exorbitant: непомерные
expatriate: эмигрант
expedient: целесообразный
expedite: ускорять
expiate: искупить
explicate: объяснять
explicit: явный
exposition: экспозиция
expostulate: противоборствовать
expunge: стирать
exquisite: изысканный
extant: сохранившийся
extol: превозносить
extort: вымогать
extraneous: посторонний
extrapolate: экстраполировать
extremity: оконечность
extricate: выпутываться
extrovert: экстроверт
exuberant: буйный
exult: ликовать
fabrication: изготовление
facade: фасад
facet: аспект
facetious: шуточный
facile: легкий
faction: фракция
fallacy: ошибка
farcical: фарсовый
fastidious: привередливый
fatalist: фаталист
fathom: вникать
fatuous: глупый
fauna: фауна
