abase: ถ่อมตัว
abash: เขิน
abate: บรรเทา
abdicate: สละราชสมบัติ
aberration: ความผิดปกติ
abet: ยุยง
abeyance: การระงับชั่วคราว
abhor: เกลียดชัง
abject: น่าสังเวช
abjure: สละ
abnegate: ล้มเลิก
abomination: สิ่งที่น่ารังเกียจ
aboriginal: ดั้งเดิม
abortive: ไม่สำเร็จ
abound: ดาษดื่น
abridge: ทำให้น้อยลง
abrogate: ยกเลิก
absolute: แน่นอน
absolve: ให้อภัย
abstinent: ผู้ไม่ดื่มสุรา
abstract: นามธรรม
abstruse: ลึกซึ้ง
abysmal: สุดซึ้ง
accede: ยอม
accentuate: เน้นเสียง
access: การเข้าถึง
acclaim: เสียงไชโยโห่ร้อง
accolade: การได้รับเกียรติ
accord: สอดคล้อง
accost: ร้องทัก
accrue: พอกพูน
acerbic: ธาตุแท้
acquiesce: โอนอ่อน
acquisitive: โลภ
acquit: ชำระหนี้
acrid: ฉุน
acrimonious: แหลมคม
acronym: อักษรย่อ
acumen: ความเฉียบแหลม
acute: เฉียบพลัน
ad-lib: พูดกลอนสด
adage: สุภาษิต
adamant: ยืนกราน
address: ที่อยู่
adduce: ยกตัวอย่าง
adherent: สานุศิษย์
adjourn: เลื่อน
adjunct: เสริม
admonish: ตักเตือน
adroit: ชำนาญ
adulation: การยกย่องสรรเสริญ
adulterate: ปลอมปน
advent: การปรากฎตัว
adventitious: บังเอิญ
adverse: ที่ไม่พึงประสงค์
advocate: สนับสนุน
aesthetic: เกี่ยวกับสุนทรียศาสตร์
affable: น่ารัก
affectation: ผลกระทบ
affidavit: คำเบิกความ
affiliate: บริษัท ในเครือ
affinity: ความเป็นพี่น้องกัน
affliction: ความทุกข์
affluent: ร่ำรวย
afford: จ่าย
affront: ดูหมิ่น
aftermath: ควันหลง
agenda: ระเบียบวาระการประชุม
aggrandize: แผ่อำนาจ
aggregate: รวม
aggrieve: ทำให้ได้รับทุกข์
aghast: ตกตะลึง
agnostic: ไม่เชื่อเรื่องพระเจ้า
agrarian: กร
alacrity: ความกระตือรือร้น
alchemy: ความขลัง
alienate: โอน
allege: กล่าวหา
allegiance: ความจงรักภักดี
allegory: ชาดก
alleviate: บรรเทา
allocate: จัดสรร
allot: เจียด
alloy: โลหะผสม
allusion: การพาดพิง
aloof: ห่าง
altercation: การทะเลาะ
altruism: ความบริสุทธิ์ใจ
amass: สะสม
ambience: บรรยากาศ
ambiguous: คลุมเครือ
ambivalent: สับสน
ameliorate: ผดุง
amenable: คล้อยตาม
amenity: ความดี
amiable: น่ารัก
amnesty: นิรโทษกรรม
amorous: เกี่ยวกับความรัก
amorphous: ไม่มีรูปร่าง
anachronism: ความผิดสมัย
analogy: การเปรียบเทียบ
anarchy: อนาธิปไตย
anathema: คำสาปแช่ง
ancillary: ขึ้นอยู่กับ
anecdote: เรื่องเล็ก ๆ น้อย
angst: ทุกข์
anguish: ความปวดร้าว
animosity: ความเป็นปรปักษ์
annex: ภาคผนวก
annuity: เงินปี
anomaly: ความผิดปกติ
antecedent: มาก่อน
antedate: เกิดก่อน
anterior: หน้า
anthology: กวีนิพนธ์
anthropomorphic: มนุษย์
antipathy: ความเกลียดชัง
